Mesocosm Code,Mesocosm only Mass (g) 29-09-2025,Mesocosm only Mass (g) 01/10/2025,Mesocosm mass (g) 03/10/2025,Mesocosm mass (g) 06/10/2025,Mesocosm mass (g) 08/10/2025,Mesocosm mass (g) 10/10/2025,Mesocosm mass (g) 13/10/2025,Mesocosm mass (g) 15/10/2025,Mesocosm mass (g) 17/10/2025,Mesocosm mass (g) 20/10/2025,Mesocosm mass (g) 22/10/2025,Mesocosm mass (g) 24/10/2025,Mesocosm mass (g) 27/10/2025,Mesocosm mass (g) 29/10/2025,Mesocosm mass (g) 31/10/2025,Mesocosm mass (g) 03/11/2025,Mesocosm mass (g) 05/11/2025,Mesocosm mass (g) 07/11/2025,Mesocosm mass (g) 11/11/2025
33-170-GB,1343.59,"1,334.82","1,329.90","1,318.02","1,312.66","1,308.12","1,298.96","1,354.29","1,345.64","1,334.84","1,328.42","1,320.66","1,302.73","1,296.31","1,288.80","1,279.25","1,276.60","1,273.95",
39-173-GG,1281.69,"1,274.76","1,271.14","1,260.87","1,255.75","1,251.36","1,242.91","1,309.28","1,300.80","1,290.46","1,284.50","1,277.13","1,258.96","1,251.90","1,242.79","1,232.35","1,229.15","1,226.20",
48-131-HB,625.84,618.06,614.34,604.87,600.44,596.65,589.37,656.73,645.19,628.89,620.82,611.67,596.81,590.94,583.86,575.32,573.17,570.92,
46-126-HH,931.66,922.78,918.94,909.30,905.18,901.37,894.42,945.95,930.97,915.02,908.04,899.94,884.75,879.49,873.19,865.19,862.98,860.83,
41-157-GG,1212.68,"1,203.56","1,198.69","1,185.40","1,179.17","1,173.20","1,161.92","1,244.33","1,234.48","1,220.31","1,212.21","1,201.17","1,178.46","1,169.43","1,158.92","1,144.33","1,140.37","1,136.17",
25-174-GB,1031.23,"1,022.60","1,018.19","1,006.14","1,000.69",995.48,986.05,"1,089.22","1,078.64","1,064.07","1,055.59","1,044.38","1,021.13","1,012.78","1,003.42",990.96,987.40,984.01,
42-144-HB,1073.56,"1,066.91","1,063.23","1,053.22","1,048.92","1,045.10","1,037.70","1,116.16","1,109.36","1,098.28","1,092.58","1,085.19","1,070.20","1,064.10","1,057.37","1,048.58","1,046.18","1,043.56",
10-129-HH,1101.81,"1,091.62","1,086.01","1,071.22","1,064.61","1,058.36","1,046.07","1,104.45","1,092.80","1,075.54","1,066.83","1,055.63","1,032.70","1,023.50","1,013.40",999.04,995.17,991.35,
17-166-GB,1329.8,"1,319.77","1,314.66","1,301.05","1,295.50","1,289.65","1,279.41","1,368.59","1,360.01","1,345.09","1,336.78","1,325.84","1,304.61","1,296.40","1,286.39","1,273.93","1,271.04","1,267.78",
30-155-GG,1206.54,"1,198.65","1,194.22","1,181.86","1,176.07","1,170.65","1,160.09","1,239.45","1,230.54","1,216.22","1,208.67","1,198.46","1,177.59","1,169.17","1,159.28","1,146.36","1,142.80","1,139.13",
